Date,Platform,Followers,Likes,Shares,Comments,EngagementRate
2025-01-27,Instagram,2270,118,26,33,0.13
2025-01-28,Facebook,3947,203,20,41,0.07
2025-01-28,Twitter,4156,269,73,34,0.22
2025-01-28,Instagram,3859,253,20,30,0.2
2025-01-29,Facebook,2435,338,98,41,0.13
2025-01-29,Twitter,3649,229,99,14,0.18
2025-01-29,Instagram,3289,145,5,9,0.19
2025-01-30,Facebook,3887,329,84,6,0.06
2025-01-30,Twitter,1695,209,95,24,0.17
2025-01-30,Instagram,4546,429,37,37,0.21
2025-01-31,Facebook,4298,150,16,7,0.21
2025-01-31,Twitter,4713,92,48,33,0.06
2025-01-31,Instagram,4173,435,39,27,0.06
2025-02-01,Facebook,1575,142,30,14,0.05
2025-02-01,Twitter,1217,164,11,8,0.19
2025-02-01,Instagram,2316,124,33,40,0.13
2025-02-02,Facebook,3608,213,14,41,0.2
2025-02-02,Twitter,3586,226,40,22,0.1
2025-02-02,Instagram,2943,201,27,36,0.22
2025-02-03,Facebook,4240,232,17,27,0.2
2025-02-03,Twitter,4752,111,88,29,0.11
2025-02-03,Instagram,1498,68,53,40,0.05
2025-02-04,Facebook,4971,314,75,32,0.24
2025-02-04,Twitter,4377,416,20,9,0.11
2025-02-04,Instagram,3738,102,27,20,0.21
2025-02-05,Facebook,2956,230,46,43,0.25
2025-02-05,Twitter,1956,212,91,33,0.12
2025-02-05,Instagram,1753,450,11,17,0.09
2025-02-06,Facebook,3793,332,70,9,0.15
2025-02-06,Twitter,3186,185,69,26,0.21
2025-02-06,Instagram,1310,376,93,49,0.2
2025-02-07,Facebook,3941,301,35,23,0.21
2025-02-07,Twitter,3014,140,78,30,0.12
2025-02-07,Instagram,4322,222,17,32,0.16
2025-02-08,Facebook,1255,366,43,5,0.19
2025-02-08,Twitter,1304,240,29,37,0.09
2025-02-08,Instagram,933,107,48,49,0.24
2025-02-09,Facebook,2652,352,25,20,0.16
2025-02-09,Twitter,3611,278,40,39,0.19
2025-02-09,Instagram,4312,451,51,45,0.09
2025-02-10,Facebook,4286,50,58,7,0.23
2025-02-10,Twitter,2153,273,20,12,0.13
2025-02-10,Instagram,1467,422,12,32,0.18
2025-02-11,Facebook,4519,235,64,32,0.07
2025-02-11,Twitter,4936,277,68,31,0.19
2025-02-11,Instagram,3308,269,33,17,0.23
2025-02-12,Facebook,4124,439,86,9,0.17
2025-02-12,Twitter,809,361,34,49,0.08
2025-02-12,Instagram,1815,338,69,22,0.25
2025-02-13,Facebook,4958,266,90,31,0.16
2025-02-13,Twitter,4800,147,5,25,0.06
2025-02-13,Instagram,2800,246,99,9,0.25
2025-02-14,Facebook,2260,72,57,41,0.2
2025-02-14,Twitter,4978,194,89,18,0.09
2025-02-14,Instagram,2848,100,49,17,0.09
2025-02-15,Facebook,2623,83,96,35,0.07
2025-02-15,Twitter,1049,211,58,7,0.15
2025-02-15,Instagram,2784,103,9,34,0.23
2025-02-16,Facebook,2648,450,51,27,0.2
2025-02-16,Twitter,4781,115,79,43,0.08
2025-02-16,Instagram,2129,147,86,34,0.16
2025-02-17,Facebook,3282,496,56,42,0.14
2025-02-17,Twitter,2158,79,55,21,0.24
2025-02-17,Instagram,937,233,21,14,0.2
2025-02-18,Facebook,3831,118,38,10,0.15
2025-02-18,Twitter,4618,92,79,27,0.08
2025-02-18,Instagram,4245,449,12,8,0.09
2025-02-19,Facebook,2519,330,71,36,0.14
2025-02-19,Twitter,4988,209,54,23,0.21
2025-02-19,Instagram,4700,71,25,10,0.07
2025-02-20,Facebook,1323,395,50,38,0.08
2025-02-20,Twitter,2553,350,31,13,0.07
2025-02-20,Instagram,3061,288,60,34,0.08
2025-02-21,Facebook,4943,110,85,30,0.22
2025-02-21,Twitter,2855,162,56,19,0.16
2025-02-21,Instagram,855,263,18,30,0.2
2025-02-22,Facebook,2925,265,6,49,0.06
2025-02-22,Twitter,2446,456,22,42,0.16
2025-02-22,Instagram,3886,241,93,41,0.09
2025-02-23,Facebook,1862,490,21,43,0.07
2025-02-23,Twitter,925,349,29,21,0.12
2025-02-23,Instagram,2403,443,71,45,0.15
2025-02-24,Facebook,2958,277,90,38,0.16
2025-02-24,Twitter,4807,418,87,46,0.11
2025-02-24,Instagram,3539,331,68,38,0.1
2025-02-25,Facebook,3162,414,74,41,0.24
2025-02-25,Twitter,2260,199,25,10,0.12
2025-02-25,Instagram,3363,399,79,34,0.08
2025-02-26,Facebook,3670,186,7,35,0.13
2025-02-26,Twitter,3395,457,99,10,0.13
2025-02-26,Instagram,4970,53,83,10,0.25
2025-02-27,Facebook,3351,484,66,6,0.16
2025-02-27,Twitter,1941,373,23,24,0.15
2025-02-27,Instagram,2848,139,18,42,0.17
2025-02-28,Facebook,2826,308,37,10,0.12
2025-02-28,Twitter,809,310,27,14,0.25
2025-02-28,Instagram,2860,217,6,24,0.1
2025-03-01,Facebook,3176,322,13,15,0.14
2025-03-01,Twitter,2838,468,98,35,0.24
2025-03-01,Instagram,4827,285,54,18,0.24
2025-03-02,Facebook,4330,186,38,16,0.13
2025-03-02,Twitter,3360,345,68,26,0.06
2025-03-02,Instagram,4650,410,18,34,0.22
2025-03-03,Facebook,3698,428,82,30,0.23
2025-03-03,Twitter,1400,286,46,29,0.19
2025-03-03,Instagram,2663,344,18,36,0.14
2025-03-04,Facebook,2990,202,21,37,0.13
2025-03-04,Twitter,4833,358,55,43,0.07
2025-03-04,Instagram,3426,440,55,12,0.19
2025-03-05,Facebook,2835,280,31,40,0.25
2025-03-05,Twitter,1920,460,59,37,0.06
2025-03-05,Instagram,3445,371,14,9,0.23
2025-03-06,Facebook,3712,167,42,17,0.07
2025-03-06,Twitter,4028,185,9,33,0.1
2025-03-06,Instagram,3691,222,6,31,0.18
2025-03-07,Facebook,2755,341,30,47,0.17
2025-03-07,Twitter,4906,303,78,44,0.17
2025-03-07,Instagram,1614,395,50,47,0.08
2025-03-08,Facebook,2988,153,66,22,0.17
2025-03-08,Twitter,2439,365,47,16,0.07
2025-03-08,Instagram,3735,342,76,46,0.2
2025-03-09,Facebook,4249,442,55,33,0.07
2025-03-09,Twitter,4168,263,15,27,0.07
2025-03-09,Instagram,4276,395,40,27,0.23
2025-03-10,Facebook,2654,487,59,44,0.17
2025-03-10,Twitter,4302,358,13,14,0.21
2025-03-10,Instagram,1374,293,29,30,0.23
2025-03-11,Facebook,1185,440,86,31,0.2
2025-03-11,Twitter,4400,177,47,48,0.23
2025-03-11,Instagram,2005,201,29,11,0.08
2025-03-12,Facebook,4372,393,37,33,0.17
2025-03-12,Twitter,3513,205,89,11,0.25
2025-03-12,Instagram,4232,226,24,26,0.07
2025-03-13,Facebook,2524,409,53,11,0.17
2025-03-13,Twitter,4012,264,55,23,0.12
2025-03-13,Instagram,3517,334,53,49,0.13
2025-03-14,Facebook,4295,68,22,5,0.21
2025-03-14,Twitter,3857,243,96,34,0.16
2025-03-14,Instagram,4135,462,59,43,0.2
2025-03-15,Facebook,2281,415,38,37,0.06
2025-03-15,Twitter,2623,227,11,33,0.13
2025-03-15,Instagram,3606,372,92,27,0.18
2025-03-16,Facebook,1127,103,71,37,0.16
2025-03-16,Twitter,2943,137,82,36,0.22
2025-03-16,Instagram,3338,449,72,41,0.08
2025-03-17,Facebook,1622,481,86,11,0.18
2025-03-17,Twitter,2998,134,23,23,0.17
2025-03-17,Instagram,4977,51,5,9,0.12
2025-03-18,Facebook,2209,244,91,16,0.22
2025-03-18,Twitter,1604,471,98,13,0.14
2025-03-18,Instagram,4377,391,28,21,0.22
2025-03-19,Facebook,3479,108,91,36,0.14
2025-03-19,Twitter,3986,258,18,13,0.16
2025-03-19,Instagram,1036,330,77,26,0.22
2025-03-20,Facebook,2851,203,62,33,0.08
2025-03-20,Twitter,4598,342,79,10,0.23
2025-03-20,Instagram,4724,91,45,42,0.06
2025-03-21,Facebook,2422,166,90,25,0.1
2025-03-21,Twitter,1445,268,44,38,0.17
2025-03-21,Instagram,1254,443,49,21,0.13
2025-03-22,Facebook,3481,95,68,6,0.08
2025-03-22,Twitter,2186,242,55,40,0.2
2025-03-22,Instagram,4924,198,15,44,0.14
2025-03-23,Facebook,1936,236,43,44,0.16
2025-03-23,Twitter,4993,104,28,26,0.2
2025-03-23,Instagram,2585,85,24,23,0.17
2025-03-24,Facebook,4720,495,77,30,0.14
2025-03-24,Twitter,2920,250,44,21,0.13
2025-03-24,Instagram,860,476,46,29,0.1
2025-03-25,Facebook,4369,278,48,34,0.05
2025-03-25,Twitter,3122,150,48,21,0.24
2025-03-25,Instagram,4694,352,16,20,0.22
2025-03-26,Facebook,4862,198,85,27,0.19
2025-03-26,Twitter,1509,249,29,22,0.15
2025-03-26,Instagram,4526,108,30,45,0.24
2025-03-27,Facebook,846,337,14,20,0.24
2025-03-27,Twitter,4790,331,89,26,0.23
2025-03-27,Instagram,4653,384,11,13,0.09
2025-03-28,Facebook,2321,364,91,33,0.14
2025-03-28,Twitter,3219,472,22,46,0.18
2025-03-28,Instagram,1982,201,64,49,0.07
2025-03-29,Facebook,3783,232,91,48,0.16
2025-03-29,Twitter,4759,53,97,26,0.11
2025-03-29,Instagram,3569,210,20,49,0.17
2025-03-30,Facebook,4321,360,46,38,0.05
2025-03-30,Twitter,2604,190,22,36,0.24
2025-03-30,Instagram,1613,78,66,33,0.06
2025-03-31,Facebook,1071,489,14,34,0.13
2025-03-31,Twitter,4230,389,9,5,0.1
2025-03-31,Instagram,2850,478,18,34,0.22
2025-04-01,Facebook,945,495,41,29,0.11
2025-04-01,Twitter,3432,448,53,28,0.07
2025-04-01,Instagram,3034,342,65,41,0.07
2025-04-02,Facebook,1606,489,67,28,0.14
2025-04-02,Twitter,2668,275,29,11,0.25
2025-04-02,Instagram,1684,292,78,47,0.09
2025-04-03,Facebook,3065,474,7,10,0.21
2025-04-03,Twitter,853,96,91,13,0.24
2025-04-03,Instagram,2713,290,65,46,0.15
2025-04-04,Facebook,1649,111,21,28,0.23
2025-04-04,Twitter,4869,318,93,13,0.23
2025-04-04,Instagram,2180,147,15,45,0.13
2025-04-05,Facebook,3482,78,13,7,0.24
2025-04-05,Twitter,2155,219,13,19,0.18
2025-04-05,Instagram,2218,492,92,19,0.05
2025-04-06,Facebook,4772,225,94,22,0.07
2025-04-06,Twitter,4187,225,81,32,0.07
2025-04-06,Instagram,3911,350,66,33,0.23
2025-04-07,Facebook,2391,89,44,31,0.22
2025-04-07,Twitter,2112,311,92,23,0.22
2025-04-07,Instagram,2939,402,63,45,0.12
2025-04-08,Facebook,3404,394,57,46,0.07
2025-04-08,Twitter,4538,471,64,11,0.23
2025-04-08,Instagram,1356,363,35,27,0.05
2025-04-09,Facebook,3519,412,57,34,0.23
2025-04-09,Twitter,2929,405,6,18,0.2
2025-04-09,Instagram,2347,344,70,36,0.07
2025-04-10,Facebook,2490,162,21,44,0.1
2025-04-10,Twitter,1807,375,87,34,0.05
2025-04-10,Instagram,2047,368,32,19,0.24
2025-04-11,Facebook,1077,245,24,36,0.2
2025-04-11,Twitter,1840,61,26,21,0.17
2025-04-11,Instagram,3552,71,94,22,0.22
2025-04-12,Facebook,1486,334,80,40,0.18
2025-04-12,Twitter,3228,56,33,15,0.21
2025-04-12,Instagram,4799,484,79,27,0.14
2025-04-13,Facebook,2253,275,33,8,0.14
2025-04-13,Twitter,838,320,33,33,0.11
2025-04-13,Instagram,2623,179,51,18,0.1
2025-04-14,Facebook,4330,76,71,21,0.24
2025-04-14,Twitter,4311,141,97,25,0.23
2025-04-14,Instagram,4826,133,10,23,0.1
2025-04-15,Facebook,4763,471,19,38,0.09
2025-04-15,Twitter,2655,330,28,16,0.16
2025-04-15,Instagram,3055,76,76,29,0.22
2025-04-16,Facebook,4180,57,83,31,0.22
2025-04-16,Twitter,1759,477,57,28,0.23
2025-04-16,Instagram,3746,453,50,19,0.15
2025-04-17,Facebook,3053,322,88,40,0.16
2025-04-17,Twitter,1816,493,67,26,0.17
2025-04-17,Instagram,916,435,92,12,0.11
2025-04-18,Facebook,4588,258,76,25,0.06
2025-04-18,Twitter,2189,144,42,36,0.18
2025-04-18,Instagram,1528,338,45,12,0.19
2025-04-19,Facebook,4562,137,45,21,0.07
2025-04-19,Twitter,3917,209,83,20,0.15
2025-04-19,Instagram,3520,251,44,36,0.24
2025-04-20,Facebook,801,274,37,45,0.12
2025-04-20,Twitter,1717,152,70,42,0.16
2025-04-20,Instagram,2509,171,19,38,0.06
2025-04-21,Facebook,1227,354,79,7,0.23
2025-04-21,Twitter,2856,311,77,43,0.17
2025-04-21,Instagram,1352,419,80,12,0.24
2025-04-22,Facebook,4189,133,66,11,0.18
2025-04-22,Twitter,1007,437,10,26,0.14
2025-04-22,Instagram,1314,176,45,46,0.14
2025-04-23,Facebook,2934,61,17,29,0.22
2025-04-23,Twitter,2969,196,59,40,0.2
2025-04-23,Instagram,4604,168,57,36,0.15
2025-04-24,Facebook,4465,451,87,26,0.12
2025-04-24,Twitter,1111,410,63,7,0.07
2025-04-24,Instagram,1554,84,65,33,0.13
2025-04-25,Facebook,1152,440,80,34,0.24
2025-04-25,Twitter,2777,494,28,24,0.18
2025-04-25,Instagram,3579,413,24,28,0.16
2025-04-26,Facebook,2073,166,70,19,0.23
2025-04-26,Twitter,2597,344,46,16,0.13
2025-04-26,Instagram,1329,89,25,19,0.1
2025-04-27,Facebook,4391,149,98,27,0.18
2025-04-27,Twitter,1325,383,6,41,0.22
2025-04-27,Instagram,3852,90,66,18,0.15
2025-04-28,Facebook,3955,179,74,21,0.13
2025-04-28,Twitter,2840,77,70,39,0.18
2025-04-28,Instagram,2846,498,44,16,0.08
2025-04-29,Facebook,4174,336,15,14,0.06
2025-04-29,Twitter,1069,129,78,33,0.12
2025-04-29,Instagram,4232,306,9,24,0.17
2025-04-30,Facebook,3160,113,88,32,0.06
2025-04-30,Twitter,3534,253,41,48,0.14
2025-04-30,Instagram,2190,256,10,48,0.16
2025-05-01,Facebook,2739,419,82,6,0.07
2025-05-01,Twitter,2116,69,30,33,0.18
2025-05-01,Instagram,1858,247,63,9,0.07
2025-05-02,Facebook,2029,61,24,28,0.19
2025-05-02,Twitter,925,266,54,33,0.22
2025-05-02,Instagram,4049,456,48,42,0.08
2025-05-03,Facebook,2769,283,12,25,0.07
2025-05-03,Twitter,2599,206,9,26,0.1
2025-05-03,Instagram,3274,463,86,21,0.22
2025-05-04,Facebook,1102,281,80,31,0.24
2025-05-04,Twitter,3872,196,35,20,0.22
2025-05-04,Instagram,2127,118,94,32,0.08
2025-05-05,Facebook,1503,112,77,37,0.13
2025-05-05,Twitter,3432,294,81,35,0.2
2025-05-05,Instagram,2147,147,8,42,0.14
2025-05-06,Facebook,4353,131,17,45,0.11
2025-05-06,Twitter,2188,380,5,28,0.11
2025-05-06,Instagram,1254,138,89,19,0.18
2025-05-07,Facebook,4889,248,19,25,0.13
2025-05-07,Twitter,2240,354,39,48,0.05
2025-05-07,Instagram,4138,404,76,18,0.17
2025-05-08,Facebook,3789,314,7,25,0.22
2025-05-08,Twitter,3663,499,74,32,0.06
2025-05-08,Instagram,1977,202,16,9,0.13
2025-05-09,Facebook,4164,349,19,47,0.2
2025-05-09,Twitter,3345,413,47,49,0.21
2025-05-09,Instagram,1814,385,51,19,0.1
2025-05-10,Facebook,1514,100,19,8,0.24
2025-05-10,Twitter,1763,422,56,31,0.24
2025-05-10,Instagram,905,469,34,22,0.13
2025-05-11,Facebook,3436,181,94,29,0.15
2025-05-11,Twitter,2086,400,78,43,0.16
2025-05-11,Instagram,4454,496,60,46,0.09
2025-05-12,Facebook,835,133,72,11,0.21
2025-05-12,Twitter,2508,411,51,17,0.17
2025-05-12,Instagram,2100,263,96,13,0.21
2025-05-13,Facebook,809,427,46,12,0.2
2025-05-13,Twitter,1872,203,95,41,0.11
2025-05-13,Instagram,4483,109,43,14,0.21
2025-05-14,Facebook,3840,488,73,39,0.22
2025-05-14,Twitter,1430,198,85,26,0.05
2025-05-14,Instagram,3266,209,15,14,0.1
2025-05-15,Facebook,1900,490,29,6,0.1
2025-05-15,Twitter,4529,372,46,43,0.19
2025-05-15,Instagram,4151,237,50,23,0.17
2025-05-16,Facebook,1925,91,36,43,0.2
2025-05-16,Twitter,4931,281,40,7,0.13
2025-05-16,Instagram,2714,119,45,43,0.06
2025-05-17,Facebook,4513,493,9,48,0.1
2025-05-17,Twitter,3623,279,76,7,0.16
2025-05-17,Instagram,3228,107,7,26,0.18
2025-05-18,Facebook,3574,221,6,42,0.16
2025-05-18,Twitter,3201,335,12,26,0.16
2025-05-18,Instagram,4419,382,97,35,0.2
2025-05-19,Facebook,1007,155,66,34,0.14
2025-05-19,Twitter,3759,61,21,20,0.18
2025-05-19,Instagram,3362,193,34,49,0.07
2025-05-20,Facebook,2340,409,69,34,0.15
2025-05-20,Twitter,4837,455,86,12,0.2
2025-05-20,Instagram,1812,321,80,42,0.08
2025-05-21,Facebook,3356,191,40,37,0.1
2025-05-21,Twitter,2401,410,89,6,0.24
2025-05-21,Instagram,3296,380,71,27,0.24
2025-05-22,Facebook,1061,468,26,47,0.16
2025-05-22,Twitter,1043,61,53,46,0.16
2025-05-22,Instagram,2626,207,92,46,0.22
2025-05-23,Facebook,933,116,84,11,0.11
2025-05-23,Twitter,872,448,25,39,0.08
2025-05-23,Instagram,3778,255,24,22,0.18
2025-05-24,Facebook,2785,330,58,37,0.23
2025-05-24,Twitter,1933,385,58,7,0.24
2025-05-24,Instagram,1848,190,12,25,0.06
2025-05-25,Facebook,1336,128,72,49,0.16
2025-05-25,Twitter,4479,141,17,35,0.15
2025-05-25,Instagram,3836,365,67,10,0.05
2025-05-26,Facebook,4938,303,6,27,0.08
2025-05-26,Twitter,2753,315,93,6,0.15
2025-05-26,Instagram,1489,302,35,19,0.25
2025-05-27,Facebook,2930,442,25,13,0.21
2025-05-27,Twitter,4365,420,11,20,0.19
2025-05-27,Instagram,1408,309,8,43,0.1
2025-05-28,Facebook,2948,408,56,33,0.17
2025-05-28,Twitter,4102,227,67,41,0.23
2025-05-28,Instagram,1567,56,31,32,0.15
2025-05-29,Facebook,2564,135,9,6,0.08
2025-05-29,Twitter,3093,279,83,25,0.2
2025-05-29,Instagram,1700,114,17,25,0.22
2025-05-30,Facebook,3185,222,36,40,0.12
2025-05-30,Twitter,3242,240,25,30,0.08
2025-05-30,Instagram,1345,101,86,44,0.21
2025-05-31,Facebook,4604,485,33,42,0.13
2025-05-31,Twitter,3244,162,68,21,0.18
2025-05-31,Instagram,1224,178,6,33,0.11
2025-06-01,Facebook,1041,363,64,44,0.14
2025-06-01,Twitter,1514,296,38,12,0.23
2025-06-01,Instagram,3047,482,83,21,0.06
2025-06-02,Facebook,1655,222,87,9,0.2
2025-06-02,Twitter,2948,57,81,12,0.07
2025-06-02,Instagram,4256,158,55,28,0.07
2025-06-03,Facebook,3888,182,24,25,0.13
2025-06-03,Twitter,2750,415,15,19,0.24
2025-06-03,Instagram,3346,77,55,47,0.13
2025-06-04,Facebook,1572,399,12,14,0.05
2025-06-04,Twitter,4091,386,99,12,0.2
2025-06-04,Instagram,3176,499,83,7,0.07
2025-06-05,Facebook,2413,154,45,29,0.16
2025-06-05,Twitter,1169,315,25,40,0.11
2025-06-05,Instagram,1569,423,17,36,0.2
2025-06-06,Facebook,2111,337,15,14,0.12
2025-06-06,Twitter,1735,451,59,13,0.12
2025-06-06,Instagram,4497,327,34,24,0.07
2025-06-07,Facebook,4159,484,50,25,0.11
2025-06-07,Twitter,2367,271,43,16,0.23
2025-06-07,Instagram,2996,446,25,12,0.2
2025-06-08,Facebook,1446,200,79,26,0.2
2025-06-08,Twitter,2168,71,96,33,0.2
2025-06-08,Instagram,1082,99,99,19,0.15
2025-06-09,Facebook,4983,93,81,26,0.16
2025-06-09,Twitter,2524,402,60,7,0.11
2025-06-09,Instagram,2866,72,33,34,0.22
2025-06-10,Facebook,2104,177,12,46,0.16
2025-06-10,Twitter,2084,52,69,8,0.07
2025-06-10,Instagram,2655,411,93,14,0.2
2025-06-11,Facebook,1722,115,45,17,0.16
2025-06-11,Twitter,3779,135,94,16,0.2
2025-06-11,Instagram,1837,170,38,24,0.12
2025-06-12,Facebook,2578,272,74,23,0.25
2025-06-12,Twitter,2979,160,8,24,0.21
2025-06-12,Instagram,1813,276,30,41,0.18
2025-06-13,Facebook,2823,408,25,14,0.17
2025-06-13,Twitter,1880,478,24,21,0.17
2025-06-13,Instagram,3363,270,18,7,0.06
2025-06-14,Facebook,3747,425,28,38,0.17
2025-06-14,Twitter,4059,109,23,23,0.06
2025-06-14,Instagram,1932,125,34,42,0.09
2025-06-15,Facebook,1667,241,23,49,0.08
2025-06-15,Twitter,2006,195,67,32,0.2
2025-06-15,Instagram,1819,167,49,37,0.13
2025-06-16,Facebook,2083,197,51,31,0.19
2025-06-16,Twitter,2925,173,79,43,0.16
2025-06-16,Instagram,4271,374,65,14,0.12
2025-06-17,Facebook,4496,399,74,21,0.24
2025-06-17,Twitter,3410,294,23,46,0.22
2025-06-17,Instagram,2803,98,25,14,0.24
2025-06-18,Facebook,3203,119,94,8,0.06
2025-06-18,Twitter,3778,178,28,40,0.2
2025-06-18,Instagram,1485,365,64,35,0.23
2025-06-19,Facebook,2231,413,34,26,0.1
2025-06-19,Twitter,962,488,96,18,0.1
2025-06-19,Instagram,4271,231,99,46,0.22
2025-06-20,Facebook,1381,93,77,49,0.22
2025-06-20,Twitter,3443,387,61,25,0.16
2025-06-20,Instagram,4800,56,74,19,0.05
2025-06-21,Facebook,1971,192,52,11,0.13
2025-06-21,Twitter,4537,425,18,41,0.25
2025-06-21,Instagram,4452,180,91,30,0.09
2025-06-22,Facebook,3152,452,93,25,0.17
2025-06-22,Twitter,1224,210,54,8,0.13
2025-06-22,Instagram,1397,338,85,28,0.07
2025-06-23,Facebook,2890,218,43,26,0.16
2025-06-23,Twitter,2433,247,69,14,0.08
2025-06-23,Instagram,2337,71,61,6,0.07
2025-06-24,Facebook,4015,417,55,43,0.16
2025-06-24,Twitter,1143,473,42,14,0.25
2025-06-24,Instagram,3090,368,53,36,0.1
2025-06-25,Facebook,1977,432,72,26,0.05
2025-06-25,Twitter,3591,262,83,26,0.08
2025-06-25,Instagram,1581,460,44,32,0.2
2025-06-26,Facebook,2913,458,7,12,0.11
2025-06-26,Twitter,2377,276,10,43,0.18
2025-06-26,Instagram,3226,227,47,23,0.14
2025-06-27,Facebook,3351,317,78,12,0.11
2025-06-27,Twitter,1275,346,40,41,0.18
2025-06-27,Instagram,3085,153,86,46,0.14
2025-06-28,Facebook,4325,317,6,11,0.17
2025-06-28,Twitter,3724,308,31,47,0.25
2025-06-28,Instagram,3776,269,5,12,0.23
2025-06-29,Facebook,1487,156,8,34,0.17
2025-06-29,Twitter,2581,324,36,13,0.21
2025-06-29,Instagram,4758,65,5,49,0.25
2025-06-30,Facebook,4404,207,17,38,0.08
2025-06-30,Twitter,1925,272,63,31,0.19
2025-06-30,Instagram,3200,245,29,24,0.23
2025-07-01,Facebook,3869,182,65,32,0.22
2025-07-01,Twitter,2195,483,10,23,0.2
2025-07-01,Instagram,3790,413,77,25,0.1
2025-07-02,Facebook,1954,125,96,34,0.08
2025-07-02,Twitter,4148,205,94,37,0.1
2025-07-02,Instagram,2515,83,45,22,0.2
2025-07-03,Facebook,3126,225,26,21,0.22
2025-07-03,Twitter,2474,399,19,31,0.18
2025-07-03,Instagram,1523,430,20,38,0.12
2025-07-04,Facebook,1735,297,32,43,0.08
2025-07-04,Twitter,4630,392,67,7,0.19
2025-07-04,Instagram,2136,166,57,18,0.23
2025-07-05,Facebook,1192,404,81,19,0.1
2025-07-05,Twitter,4608,183,95,27,0.08
2025-07-05,Instagram,2177,425,50,42,0.1
